common-zk-mq 172.20.81.4
common-redis-mongodb 172.20.81.252
common-mysql-bco 172.20.81.100
common-mysql-erp 172.20.81.246
ERP_IP_4 172.20.80.18
BCO_IP_3 172.20.80.56
BCO_IP_5 172.20.80.140
BCO_IP_8 172.20.80.33
BCO_IP_1 172.20.80.171
ERP_IP_8 172.20.80.48
BCO_IP_7 172.20.80.195
BCO_IP_6 172.20.80.81
BCO_IP_4 172.20.80.145
BCO_IP_9 172.20.80.75
BCO_IP_2 172.20.80.66
ERP_IP_2 172.20.80.169
test-nginx 172.20.80.28
ERP_IP_6 172.20.80.106
ERP_IP_1 172.20.80.31
ERP_IP_5 172.20.80.165
ERP_IP_7 172.20.80.83
BCO_IP_10 172.20.80.49
ERP_IP_3 172.20.80.167
PRO_XXL-JOB 172.18.12.153
jenkins-slave 172.20.81.184
HW-UAT-EDU-01 172.20.61.173
HW-UAT-EDU-02 172.20.61.40
HW-UAT-EDU-nginx 172.20.50.10
HW-UAT-EDU-redis+nfs 172.20.62.230
